;v_x;v_y;dpsi;INS_Lat;INS_Long;Inv_Path_Radius;Steering_Angle;a_x;a_y;a_z
0 days 00:00:00.031438280;7.845;0.085;0.00645771823237902;52.649237799999995;9.7530875;0.0007;0.0027123359997209178;-0.34531200000000006;-0.16088400000000003;9.935568000000002
0 days 00:00:00.041438280;;;;;;;;;;
0 days 00:00:00.051438280;7.845;0.085;0.00645771823237902;52.649237799999995;9.7530875;0.0007;0.0027123359997209178;-0.34531200000000006;-0.16088400000000003;9.935568000000002
0 days 00:00:00.061438280;7.845;0.085;0.006457718232379018;52.649237772222214;9.75308745;0.0007166666666666667;0.0027123359997209178;-0.34531200000000006;-0.16088400000000003;9.935568000000002
0 days 00:00:00.071438280;7.841785714285714;0.08488095238095239;0.006644717795092698;52.64923739047619;9.75308675;0.0008;0.0027123359997209178;-0.30513771428571435;-0.1337897142857143;9.896328000000002
0 days 00:00:00.081438280;7.840138888888888;0.08138888888888889;0.007126761112310179;52.649236925;9.753085775;0.0008916666666666668;0.0027123359997209178;-0.21396700000000005;-0.04806900000000001;9.792778
0 days 00:00:00.091438280;7.843333333333334;0.08;0.007504915783575617;52.649236486666666;9.75308495;0.00091;0.0027123359997209178;-0.3398184000000001;-0.0269448;9.8259576
0 days 00:00:00.101438280;7.842083333333332;0.08;0.008033362695985011;52.64923609722222;9.753084124999999;0.0009916666666666667;0.0027123359997209178;-0.492789;0.013734000000000003;9.809673000000002
0 days 00:00:00.111438280;7.84;0.08;0.008474543145794688;52.64923562777778;9.753083225;0.001075;0.0027123359997209178;-0.36460499999999996;-0.015369000000000004;9.817848
0 days 00:00:00.121438280;7.837083333333333;0.08;0.008315247222001556;52.64923519722222;9.753082325;0.0010166666666666668;0.0027123359997209178;-0.25767600000000007;-0.07488300000000002;9.829293000000003
0 days 00:00:00.131438280;7.835119047619047;0.07678571428571428;0.007894943442949859;52.64923469047619;9.753081342857142;0.0009857142857142857;0.0027123359997209178;-0.28598485714285715;-0.03746485714285715;9.773656285714287
0 days 00:00:00.141438280;7.838333333333333;0.075;0.007214027574909894;52.64923426333333;9.75308037;0.0009000000000000001;0.0027123359997209178;-0.326346;0.039894000000000006;9.7466928
0 days 00:00:00.151438280;7.836666666666667;0.07821428571428571;0.00686496172451103;52.64923379047618;9.75307945;0.0008142857142857143;0.0027123359997209178;-0.39202628571428577;0.05091857142857143;9.790006285714286
0 days 00:00:00.161438280;7.831666666666666;0.08;0.00645771823237902;52.64923336666666;9.75307855;0.0008;0.0027123359997209178;-0.37330320000000006;0.012687600000000002;9.742638
0 days 00:00:00.171438280;7.83;0.08;0.0056847867064958165;52.64923295952381;9.75307765;0.0007714285714285715;0.0027123359997209178;-0.2620671428571429;-0.037278000000000006;9.753288857142858
0 days 00:00:00.181438280;7.829722222222222;0.08013888888888888;0.004668755749084832;52.64923244166666;9.753076666666667;0.0006000000000000001;0.0027123359997209178;-0.317626;0.024852;9.786347000000001
0 days 00:00:00.191438280;7.823333333333333;0.08333333333333334;0.0041887902047863905;52.64923198666666;9.753075769999999;0.00051;0.0027123359997209178;-0.4542684000000001;0.023544000000000002;9.7918188
0 days 00:00:00.201438280;7.817083333333334;0.085;0.0035633805561550895;52.6492316;9.753074924999998;0.0004916666666666666;0.0027123359997209178;-0.339426;0.006213000000000001;9.798882
0 days 00:00:00.211438280;7.815;0.085;0.0030044596409330958;52.64923115952381;9.75307395;0.0004142857142857143;0.0027123359997209178;-0.2672991428571429;-0.021582000000000004;9.783092571428574
0 days 00:00:00.221438280;7.815;0.085;0.003246312408709453;52.649230686666655;9.75307305;0.0004;0.0027123359997209178;-0.3501516;-0.05022720000000001;9.727596
0 days 00:00:00.231438280;7.811666666666667;0.08511904761904764;0.0032163924786752646;52.649230259523804;9.75307215;0.0004;0.0027123359997209178;-0.28645200000000004;-0.03354085714285715;9.769265142857144
0 days 00:00:00.241438280;7.8066666666666675;0.08833333333333333;0.003432480862255515;52.64922978666666;9.75307125;0.00041000000000000005;0.0027123359997209178;-0.3539448;-0.0688008;9.7763844
0 days 00:00:00.251438280;7.8048809523809535;0.08678571428571429;0.003843879900225606;52.64922935952381;9.75307035;0.00048571428571428577;0.0027123359997209178;-0.3539074285714286;-0.1213637142857143;9.771974571428572
0 days 00:00:00.261438280;7.801666666666667;0.085;0.0040724349213201025;52.64922888666666;9.75306945;0.0005;0.0027123359997209178;-0.2540136;-0.1267452;9.736490400000001
0 days 00:00:00.271438280;7.799880952380952;0.085;0.0037857022584924624;52.64922846666666;9.75306855;0.0005;0.0027123359997209178;-0.29401971428571433;-0.1792894285714286;9.849707142857143
0 days 00:00:00.281438280;7.796666666666667;0.085;0.003665191429188092;52.649228063333325;9.75306765;0.0005;0.0027123359997209178;-0.4649940000000001;-0.2135964;9.806206800000002
0 days 00:00:00.291438280;7.794880952380952;0.085;0.0037898578043305442;52.64922759047619;9.75306675;0.0005;0.0027123359997209178;-0.3741814285714286;-0.08240400000000002;9.739087714285715
0 days 00:00:00.301438280;7.791666666666667;0.085;0.004305145488252679;52.64922716333333;9.753065849999999;0.00051;0.0027123359997209178;-0.29273040000000006;-0.0514044;9.561218400000001
0 days 00:00:00.311438280;7.79;0.085;0.005115476926678619;52.64922669047619;9.753064949999999;0.0006000000000000001;0.0027123359997209178;-0.18190542857142858;-0.07502314285714287;9.56418942857143
0 days 00:00:00.321438280;7.790000000000001;0.085;0.005759586531581288;52.64922626333333;9.753064049999999;0.0007;0.0027123359997209178;-0.3048948000000001;-0.0652692;9.649508400000002
0 days 00:00:00.331438280;7.786785714285714;0.08488095238095239;0.006283185307179587;52.64922579047619;9.753063142857142;0.0007857142857142857;0.0027123359997209178;-0.4336954285714286;-0.03270000000000001;9.64771457142857
