;v_x;v_y;dpsi;INS_Lat;INS_Long;Inv_Path_Radius;Steering_Angle;a_x;a_y;a_z
0 days 00:00:00.095247462;11.9;-0.12;0.0008726646259971648;52.647831;9.7506477;0.0001;0.0014740956520222378;0.24721200000000002;0.11379600000000001;10.037592000000002
0 days 00:00:00.105247462;11.9;-0.12;0.0008726646259971648;52.64783102916667;9.750647758333333;0.0001;0.0015330594781031274;0.20797200000000002;0.11673900000000001;9.990504000000003
0 days 00:00:00.115247462;11.902916666666668;-0.11708333333333333;0.0008241832578862111;52.64783152222222;9.750648752777778;0.0001;0.0015330594781031274;0.185736;0.12393300000000002;9.866244
0 days 00:00:00.125247462;11.907916666666667;-0.11791666666666667;0.0006544984694978735;52.64783215;9.750650222222221;0.0001;0.0015330594781031274;0.5022719999999999;0.11543100000000002;9.853164000000003
0 days 00:00:00.135247462;11.912916666666668;-0.12;0.0005769282805203478;52.64783275;9.75065165;0.0001;0.0015330594781031274;0.32994300000000004;0.10137000000000002;9.846951
0 days 00:00:00.145247462;11.917916666666668;-0.12;0.0008387276683194971;52.64783335277777;9.750653049999999;0.0001;0.0015330594781031274;0.20764500000000002;0.166116;9.893058000000002
0 days 00:00:00.155247462;11.91702380952381;-0.11666666666666667;0.0015209297767379158;52.64783407619047;9.750654566666666;0.0001142857142857143;0.0015330594781031274;0.3408274285714286;0.16574228571428576;9.914546571428573
0 days 00:00:00.165247462;11.921666666666667;-0.11166666666666666;0.002501638594525206;52.6478347;9.750655966666667;0.0002;0.0014740956520222378;0.4418424000000001;0.17527200000000004;9.817063200000002
0 days 00:00:00.175247462;11.927916666666667;-0.11;0.0030882631486677443;52.64783524999999;9.750657252777778;0.000275;0.0014151318259413483;0.3610080000000001;0.17559900000000003;9.900906
0 days 00:00:00.185247462;11.930119047619046;-0.11;0.0027592824364862734;52.647835907142856;9.750658842857144;0.0002285714285714286;0.0013561679998604589;0.14518800000000004;0.18162514285714287;10.008442285714287
0 days 00:00:00.195247462;11.93388888888889;-0.1101388888888889;0.0030397817805567907;52.647836633333334;9.750660383333335;0.0002916666666666667;0.0012284130433518649;0.19936100000000004;0.17527200000000004;9.898835
0 days 00:00:00.205247462;11.942361111111111;-0.11361111111111111;0.0033597588100890844;52.64783725;9.750661783333333;0.00030000000000000003;0.0011104853911900858;0.514153;0.20350300000000002;9.852292
0 days 00:00:00.215247462;11.948611111111113;-0.115;0.003592469377021661;52.64783785833333;9.750663183333332;0.00030000000000000003;0.0009925577390283067;0.28547100000000003;0.18268400000000004;9.934042
0 days 00:00:00.225247462;11.950277777777778;-0.115;0.0034179364518222284;52.647838533333335;9.750664591666666;0.00030000000000000003;0.0008746300868665278;0.158922;0.1199;9.750377
0 days 00:00:00.235247462;11.956666666666667;-0.11500000000000002;0.0030252373701235044;52.6478391;9.750665946666667;0.00029;0.0007665297390515638;0.47048760000000006;0.1665084;9.794696400000001
0 days 00:00:00.245247462;11.963214285714287;-0.11511904761904763;0.00246423868198247;52.647839700000006;9.750667366666665;0.0002142857142857143;0.0006486020868897846;0.3219548571428572;0.15593228571428575;9.972005142857144
0 days 00:00:00.255247462;11.965138888888887;-0.11861111111111111;0.002007128639793479;52.64784035833333;9.750668883333335;0.00018333333333333334;0.0005208471303811906;0.21985300000000005;0.07488300000000002;10.056994
0 days 00:00:00.265247462;11.96875;-0.12;0.0011780972450961724;52.64784103333333;9.750670283333333;0.00010833333333333333;0.0004029194782194117;0.412456;0.097337;10.046966
0 days 00:00:00.275247462;11.973333333333333;-0.12;0.0007563093425308761;52.64784160000001;9.750671569999998;9e-05;0.0003537829564853371;0.20901840000000002;0.14322600000000002;9.854341200000002
0 days 00:00:00.285247462;11.977916666666667;-0.12;0.0002908882086657216;52.64784215277778;9.750672922222222;1.6666666666666664e-05;0.0003046464347512625;0.2772960000000001;0.10202400000000002;9.663504
0 days 00:00:00.295247462;11.982916666666666;-0.12;-0.0004217879025652964;52.64784282222222;9.750674349999999;-8.333333333333334e-06;0.00023585530432355806;0.329943;0.08273100000000001;9.736752
0 days 00:00:00.305247462;11.988333333333333;-0.12;-0.0007521537966927944;52.6478435;9.750675866666667;-8.571428571428573e-05;0.00023585530432355806;0.2374954285714286;0.11482371428571428;9.79112742857143
0 days 00:00:00.315247462;11.99375;-0.12;-0.0008726646259971649;52.64784415833333;9.750677383333334;-0.0001;0.00016706417389585363;0.4270620000000001;0.12404200000000003;9.756808000000001
0 days 00:00:00.325247462;11.998750000000001;-0.12;-0.0007999425738307344;52.64784483333333;9.750678791666665;-0.0001;0.00011792765216177903;0.38760400000000006;0.08948900000000003;9.834525000000003
0 days 00:00:00.335247462;12.003333333333334;-0.12;-0.000930842267730309;52.647845399999994;9.750680146666667;-0.0001;0.00011792765216177903;0.09666120000000003;0.09509160000000003;9.918694800000003
0 days 00:00:00.345247462;12.00845238095238;-0.12;-0.0015043075933855888;52.647846;9.750681566666666;-0.0001142857142857143;0.00011792765216177903;0.269448;0.06259714285714287;10.02787542857143
