;v_x;v_y;dpsi;INS_Lat;INS_Long;Inv_Path_Radius;Steering_Angle;a_x;a_y;a_z
0 days 00:00:00.001374219;10.715;0.015;0.005585053606381855;52.6498809;9.7527314;0.0005;0.003066118956206255;-0.24328800000000003;0.062784;9.919872000000002
0 days 00:00:00.011374219;10.715;0.015;0.005585053606381855;52.6498809;9.7527314;0.0005;0.003066118956206255;-0.24328800000000003;0.062784;9.919872000000002
0 days 00:00:00.021374219;10.714833333333335;0.014833333333333332;0.005585053606381855;52.64988098;9.75273131;0.00052;0.003066118956206255;-0.33354000000000006;0.053628;9.906792000000003
0 days 00:00:00.031374219;10.711527777777777;0.011388888888888888;0.005512331554215425;52.64988163333333;9.752730566666667;0.0005750000000000001;0.003066118956206255;-0.397523;0.05460900000000001;9.840302000000001
0 days 00:00:00.041374219;10.713611111111112;0.01;0.005483242733348851;52.649882424999994;9.752729583333332;0.0005083333333333334;0.003066118956206255;-0.15107400000000004;0.12851100000000001;9.729122
0 days 00:00:00.051374219;10.714999999999998;0.01;0.005657775658548285;52.649883149999994;9.752728583333333;0.0005166666666666667;0.003066118956206255;-0.188679;0.16415400000000005;9.59309
0 days 00:00:00.061374219;10.714999999999998;0.01;0.0056141424272484275;52.649883925000005;9.752727591666666;0.0005750000000000001;0.003066118956206255;-0.13603200000000001;0.14409800000000003;9.415856000000002
0 days 00:00:00.071374219;10.714722222222221;0.009722222222222222;0.005192354524683131;52.64988465;9.752726666666666;0.0005083333333333334;0.003066118956206255;-0.14551500000000003;0.28100200000000003;9.744927
0 days 00:00:00.081374219;10.707777777777778;0.002777777777777778;0.004814199853417693;52.649885425;9.752725683333333;0.0005;0.003066118956206255;-0.4458100000000001;0.16426300000000005;9.899489
0 days 00:00:00.091374219;10.70513888888889;0.0;0.004421500771718968;52.64988614999999;9.752724683333332;0.0004833333333333333;0.003066118956206255;-0.18377400000000002;0.111834;9.896764000000001
0 days 00:00:00.101374219;10.708472222222222;0.0;0.003796091123087667;52.649886933333335;9.752723691666665;0.0003916666666666667;0.003066118956206255;-0.12175299999999999;0.22508500000000004;9.902105
0 days 00:00:00.111374219;10.706388888888888;0.0;0.003854268764820811;52.64988772499999;9.752722766666666;0.00032500000000000004;0.003066118956206255;-0.29451800000000006;0.22508500000000004;9.775338000000001
0 days 00:00:00.121374219;10.705;0.0;0.003999712869153672;52.64988844999999;9.752721783333334;0.00037500000000000006;0.003066118956206255;-0.17123900000000003;0.22563000000000005;9.591455000000002
