;v_x;v_y;dpsi;INS_Lat;INS_Long;Inv_Path_Radius;Steering_Angle;a_x;a_y;a_z
0 days 00:00:00.102209961;8.635;0.085;0.009773843811168246;52.649725399999994;9.7527563;0.0011;0.005306744347280057;-0.12164400000000002;0.184428;9.802152000000001
0 days 00:00:00.112209961;;;;;;;;;;
0 days 00:00:00.122209961;8.635;0.085;0.009628399706835386;52.64972540555555;9.752756266666667;0.0011;0.005306744347280057;-0.16480800000000004;0.19554600000000003;9.809346000000001
0 days 00:00:00.132209961;8.628571428571428;0.07857142857142858;0.00913804529794174;52.64972556666667;9.752755292857143;0.0010857142857142858;0.005306744347280057;-0.3724062857142857;0.2575825714285715;9.845970000000001
0 days 00:00:00.142209961;8.625;0.075;0.008726646259971648;52.64972576666666;9.75275402;0.00101;0.005306744347280057;-0.3791892;0.2754648;9.857349600000001
0 days 00:00:00.152209961;8.624880952380952;0.075;0.00820304748437335;52.64972597380953;9.7527528;0.0009857142857142857;0.005306744347280057;-0.27103628571428573;0.21572657142857146;9.823080000000001
0 days 00:00:00.162209961;8.621666666666666;0.075;0.008144869842640205;52.64972624666666;9.7527516;0.0009200000000000001;0.005306744347280057;-0.4006404;0.27559560000000005;9.730866000000002
0 days 00:00:00.172209961;8.620000000000001;0.075;0.008750886944027123;52.64972645;9.7527505;0.0009833333333333335;0.005306744347280057;-0.364605;0.335502;9.692607
0 days 00:00:00.182209961;8.622916666666667;0.075;0.008847849680249032;52.64972665;9.7527493;0.001;0.005306744347280057;-0.23315100000000002;0.2861250000000001;9.840084000000001
0 days 00:00:00.192209961;8.622083333333334;0.075;0.00882845713300465;52.64972685;9.752748097222222;0.0010083333333333333;0.005306744347280057;-0.4139820000000001;0.24655800000000005;9.805095
0 days 00:00:00.202209961;8.620000000000001;0.075;0.009192067393836803;52.64972707380952;9.752746723809523;0.0010857142857142858;0.005306744347280057;-0.2754274285714286;0.35530885714285715;9.680508000000001
0 days 00:00:00.212209961;8.620000000000001;0.075;0.009773843811168246;52.649727346666666;9.7527455;0.00111;0.005306744347280057;-0.0872436;0.36427800000000005;9.819417600000001
0 days 00:00:00.222209961;8.620000000000001;0.07523809523809523;0.010509375424508713;52.64972756666667;9.7527443;0.0011857142857142858;0.005306744347280057;-0.3388654285714286;0.32176800000000005;9.837748285714286
0 days 00:00:00.232209961;8.620000000000001;0.08166666666666667;0.01053015315369912;52.64972776666666;9.7527431;0.0012000000000000001;0.005306744347280057;-0.2860596;0.3284388;9.893581200000002
0 days 00:00:00.242209961;8.616785714285715;0.08190476190476191;0.010305753678442706;52.64972796666666;9.7527419;0.0012000000000000001;0.005306744347280057;-0.32429057142857143;0.24693171428571428;9.934260000000002
0 days 00:00:00.252209961;8.615;0.08347222222222223;0.010224720534600114;52.64972819166667;9.752740591666667;0.0012000000000000001;0.005306744347280057;-0.3867320000000001;0.306072;9.724108000000001
0 days 00:00:00.262209961;8.615;0.08166666666666667;0.0102392649450334;52.649728446666664;9.75273942;0.0012000000000000001;0.005306744347280057;-0.1645464;0.26957880000000006;9.728511600000001
0 days 00:00:00.272209961;8.615;0.08;0.010171391029678064;52.64972864999999;9.752738299999999;0.0011916666666666668;0.005306744347280057;-0.33713699999999996;0.2678130000000001;9.818502000000002
0 days 00:00:00.282209961;8.615;0.08583333333333333;0.009453866781635952;52.64972885;9.7527371;0.0011166666666666666;0.005306744347280057;-0.465648;0.25767600000000007;9.716151000000002
0 days 00:00:00.292209961;8.615;0.08690476190476192;0.009113112022913249;52.649729066666666;9.752735799999998;0.0010857142857142858;0.005306744347280057;-0.23600057142857148;0.277296;9.65901942857143
0 days 00:00:00.302209961;8.61486111111111;0.0886111111111111;0.008697557439105075;52.64972929166667;9.7527345;0.0010083333333333333;0.00537553547770776;-0.27849500000000005;0.32176800000000005;9.76749
0 days 00:00:00.312209961;8.611666666666666;0.09;0.008901179185171082;52.64972954666666;9.752733396666667;0.001;0.0054246719994418355;-0.4227456;0.3259536;9.779262000000001
0 days 00:00:00.322209961;8.61;0.09000000000000001;0.008804216448949173;52.64972975;9.752732230555555;0.001;0.0054246719994418355;-0.29103;0.35119800000000007;9.775992
0 days 00:00:00.332209961;8.61;0.09291666666666666;0.008658772344616312;52.649729949999994;9.752731072222222;0.001;0.0054246719994418355;-0.24852000000000002;0.33681;9.661215000000002
0 days 00:00:00.342209961;8.61;0.09500000000000001;0.008988445647770796;52.64973015;9.752729897222222;0.001;0.0054246719994418355;-0.159576;0.319479;9.591237000000001
